Width (m),Discharge (m3/s),D50 (m),Depth (m),
0.51,0.0069,0.00045,0.05,
0.51,0.0069,0.00045,0.05,
0.64,0.0100,0.00045,0.05,
0.64,0.0128,0.00045,0.05,
0.64,0.0128,0.00045,0.05,
0.64,0.0120,0.00045,0.04,
0.38,0.00315,0.00045,0.05,
0.38,0.00347,0.00045,0.05,
0.55,0.00440,0.00045,0.05,
0.38,0.00358,0.00045,0.05,
0.38,0.00333,0.00045,0.05,
0.48,0.0057,0.00045,0.05,
0.48,0.0052,0.00045,0.05,
0.48,0.00467,0.00045,0.05,
0.48,0.0056,0.00045,0.03,
0.22,0.00084,0.00045,0.03,
0.22,0.00108,0.00045,0.04,
0.22,0.00104,0.00045,0.03,
0.22,0.00091,0.00045,0.03,
0.55,0.0051,0.00045,0.03,
0.22,0.00117,0.00045,0.03,
0.20,0.00068,0.00045,0.03,
0.20,0.00065,0.00045,0.03,
0.20,0.00071,0.00045,0.02,
0.20,0.00071,0.00045,0.02,
0.19,0.00026,0.00045,0.02,
0.19,0.00026,0.00045,0.02,
0.19,0.00027,0.00045,0.04,
0.86,0.0103,0.00045,0.02,
0.86,0.0105,0.00045,0.01,
0.35,0.00225,0.00045,0.01,
0.86,0.0096,0.00045,0.01,
0.86,0.0132,0.00045,0.01,
0.35,0.00225,0.00045,0.01,
0.35,0.00225,0.00045,0.01,
1.20,0.0117,0.00045,0.01,
0.35,0.00225,0.00045,0.04,
0.20,0.00037,0.00045,0.04,
0.20,0.00031,0.00045,0.02,
0.20,0.00031,0.00045,0.04,
0.20,0.00031,0.00045,0.04,
0.20,0.00031,0.00045,0.02,
0.15,0.00078,0.00045,0.02,
0.17,0.00026,0.00045,0.04,
0.15,0.00078,0.00045,0.02,
0.15,0.00059,0.00045,0.01,
0.15,0.00059,0.00045,0.01,
0.15,0.00078,0.00045,0.01,
0.25,0.00036,0.00045,0.01,
0.25,0.00041,0.00045,0.01,
0.25,0.00036,0.00045,0.01,
0.25,0.00036,0.00045,0.02,
0.25,0.00036,0.00045,0.01,
0.25,0.00036,0.00045,0.01,
0.17,0.00022,0.00045,0.01,
0.20,0.00048,0.00045,0.01,
0.20,0.00047,0.00045,0.01,
0.20,0.00051,0.00045,0.01,
0.20,0.00051,0.00045,0.01,
0.20,0.00049,0.00045,0.01,
0.35,0.00088,0.00045,0.01,
0.35,0.00072,0.00045,0.01,
0.35,0.00077,0.00045,0.02,
0.35,0.00091,0.00045,0.01,
0.35,0.00065,0.00045,0.01,
0.17,0.00031,0.00045,0.01,
0.35,0.00084,0.00045,0.01,
0.45,0.00291,0.00045,0.01,
0.45,0.00262,0.00045,0.03,
0.45,0.00262,0.00045,0.03,
0.45,0.00209,0.00045,0.03,
0.45,0.00174,0.00045,0.03,
0.45,0.00262,0.00045,0.03,
0.45,0.00174,0.00045,0.02,
0.45,0.00262,0.00045,0.03,
0.45,0.00174,0.00045,0.02,
0.17,0.00031,0.00045,0.02,
0.22,0.00347,0.00045,0.02,
0.22,0.00208,0.00045,0.02,
0.22,0.00260,0.00045,0.02,
0.22,0.00347,0.00045,0.02,
0.22,0.00260,0.00045,0.02,
0.22,0.00347,0.00045,0.02,
0.22,0.00260,0.00045,0.02,
0.30,0.00066,0.00045,0.02,
0.30,0.00075,0.00045,0.04,
0.30,0.00067,0.00045,0.04,
0.17,0.00036,0.00045,0.04,
0.30,0.00073,0.00045,0.04,
0.30,0.00070,0.00045,0.04,
0.30,0.00067,0.00045,0.04,
0.90,0.0108,0.00045,0.04,
0.90,0.0093,0.00045,0.01,
0.90,0.0108,0.00045,0.01,
0.90,0.0108,0.00045,0.01,
0.90,0.0130,0.00045,0.02,
0.90,0.0108,0.00045,0.01,
0.90,0.0108,0.00045,0.01,
23.16,32.76,0.003,0.01,
7.77,5.78,0.024,0.04,
22.71,47.06,0.017,0.04,
44.20,391.06,0.025,0.04,
5.9,4.5,0.0004,0.04,
51.72,103.00,0.02366,0.04,
15.80,0.63,0.00211,0.04,
6.50,0.47,0.00641,0.04,
4.80,0.19,0.00291,0.85,
9.60,0.40,0.0032,1.21,
4.88,0.99,0.0102,0.47,
3.05,0.59,0.00058,1.22,
11.58,4.81,0.00867,3.46,
16.70,4.73,0.00748,1.5,
5.15,1.59,0.00366,1.25,
16.80,2.15,0.00399,0.55,
3.08,0.14,0.00053,0.89,
1.92,0.0419,0.00096,2.00,
2.87,0.0261,0.0014,2.23,
4.10,0.12,0.00192,2.58,
3.35,0.12,0.00095,1.13,
10.10,0.68,0.00215,3.12,
14.60,1.22,0.00563,3.19,
46.30,109.60,0.018200,2.00,
61.00,127.40,0.021000,2.41,
85.34,258.00,0.001,2.67,
68.00,163.00,0.019,1.04,
152.00,510.00,0.021,1.89,
27.00,141.00,0.0115,2.05,
46.00,199.00,0.03,0.72,
37.00,73.00,0.0135,4.39,
99.00,368.00,0.0188,0.79,
12.00,8.50,0.018,0.85,
196.60,2265.35,0.00002,0.46,
594.00,11553.00,0.0134,0.49,
10.00,13.50,0.03,0.67,
10.00,5.50,0.0275,0.72,
13.00,5.24,0.0305,1.24,
6.00,6.30,0.038,2.32,
7.00,6.85,0.0195,2.15,
2.44,1.51,0.024,1.58,
8.00,5.50,0.011,0.13,
15.00,25.30,0.051,0.29,
8.00,5.90,0.019,0.09,
10.00,11.60,0.0275,0.72,
9.00,16.70,0.037,0.21,
2.74,2.75,0.0155,0.91,
3.00,0.54,0.019,1.09,
3.00,2.25,0.0245,1.04,
5.00,1.70,0.042,1.17,
10.00,7.62,0.012,2.45,
13.00,8.92,0.031,1.23,
5.00,1.52,0.029,1.01,
9.00,6.29,0.027,3.51,
3.00,1.06,0.04,1.50,
7.00,2.42,0.0175,3.51,
50.00,145.00,0.056,2.79,
50.00,156.00,0.045,0.49,
12.00,10.20,0.02,5.15,
6.00,3.40,0.043,8.84,
9.00,8.86,0.052,0.82,
9.00,12.90,0.0375,0.37,
10.00,5.83,0.042,0.30,
12.00,7.73,0.0305,0.49,
24.00,28.30,0.03,0.46,
4.00,3.51,0.046,0.27,
7.00,6.20,0.053,0.37,
14.00,17.00,0.04,0.73,
2.00,1.90,0.034,0.46,
16.00,20.20,0.0285,0.61,
9.91,8.44,0.0779,0.76,
12.34,8.72,0.096,0.46,
3.93,1.87,0.0247,0.30,
8.84,6.29,0.0995,0.40,
23.53,14.61,0.0783,0.27,
12.10,9.43,0.128,0.73,
12.34,11.55,0.1863,0.40,
24.84,30.89,0.1048,0.24,
45.63,76.71,0.0851,0.37,
22.59,36.36,0.0671,0.40,
16.49,25.26,0.1748,0.37,
22.07,30.04,0.1149,1.30,
26.82,5.72,0.0366,1.50,
17.62,26.36,0.1046,0.55,
